운동명	부위	세트	횟수	휴식(초)	단계1	단계2	단계3	주의사항	이미지1	이미지2	이미지3
오버헤드케이블익스텐션	팔	3	12	60	케이블을 등지고 로프를 머리 뒤에서 잡습니다.	팔꿈치를 가까이 유지하며 손을 위·앞쪽으로 폅니다.	팔꿈치를 천천히 굽혀 로프를 머리 뒤로 보냅니다.	팔꿈치가 벌어지거나 허리를 과도하게 젖히지 않기	오버헤드케이블익스텐션_1.jpg	오버헤드케이블익스텐션_2.jpg	오버헤드케이블익스텐션_3.jpg
어시스트딥스	팔	3	12	60	보조 패드에 올라 평행봉을 잡고 팔을 폅니다.	팔꿈치를 굽혀 어깨를 통제하며 몸을 내립니다.	손바닥으로 밀어 팔을 펴고 올라옵니다.	어깨가 귀 쪽으로 올라가거나 너무 깊게 내려가지 않기	어시스트딥스_1.jpg	어시스트딥스_2.jpg	어시스트딥스_3.jpg
핵스쿼트	하체	3	12	60	등과 어깨를 패드에 붙이고 발을 플랫폼에 둡니다.	무릎이 발끝 방향을 따라가도록 몸을 낮춥니다.	발바닥으로 플랫폼을 밀어 일어납니다.	무릎이 안쪽으로 무너지거나 허리가 뜨지 않기	핵스쿼트_1.jpg	핵스쿼트_2.jpg	핵스쿼트_3.jpg
힙어브덕션	하체	3	12	60	기구에 앉아 무릎 바깥쪽을 패드에 댑니다.	상체를 세운 채 무릎을 바깥으로 벌립니다.	중량을 통제하며 무릎을 안쪽으로 모읍니다.	상체를 흔들거나 반동으로 벌리지 않기	힙어브덕션_1.jpg	힙어브덕션_2.jpg	힙어브덕션_3.jpg
힙어덕션	하체	3	12	60	기구에 앉아 다리를 벌리고 허리를 등받이에 붙입니다.	허벅지 안쪽에 힘을 주어 다리를 모읍니다.	다리를 천천히 벌려 시작 자세로 돌아옵니다.	무릎을 세게 부딪치거나 허리를 앞으로 숙이지 않기	힙어덕션_1.jpg	힙어덕션_2.jpg	힙어덕션_3.jpg
스미스머신스쿼트	하체	3	12	60	바를 승모근 위에 두고 발을 안정적으로 놓습니다.	가슴을 세우고 무릎 방향을 유지하며 앉습니다.	발바닥으로 바닥을 밀어 일어납니다.	허리가 과도하게 꺾이거나 무릎이 안쪽으로 모이지 않기	스미스머신스쿼트_1.jpg	스미스머신스쿼트_2.jpg	스미스머신스쿼트_3.jpg
스탠딩카프레이즈	하체	3	12	60	어깨 패드 아래에 서서 발 앞부분을 플랫폼에 올립니다.	발끝으로 올라가 발목을 폅니다.	뒤꿈치를 천천히 아래로 내립니다.	발목이 바깥으로 꺾이거나 무릎을 잠그지 않기	스탠딩카프레이즈_1.jpg	스탠딩카프레이즈_2.jpg	스탠딩카프레이즈_3.jpg
윗몸일으키기	코어	3	12	60	등을 대고 누워 무릎을 세우고 발을 바닥에 둡니다.	복부에 힘을 주어 상체를 말아 올리되 목을 당기지 않습니다.	등을 천천히 바닥으로 내려 시작 자세로 돌아옵니다.	목을 당기거나 허리 반동으로 올라오지 않기	윗몸일으키기_1.jpg	윗몸일으키기_2.jpg	윗몸일으키기_3.jpg
런지	하체	3	12	60	바르게 서서 발을 골반 너비로 벌립니다.	한 발을 앞으로 내딛고 양쪽 무릎을 통제하며 낮춥니다.	앞발로 바닥을 밀어 시작 자세로 돌아옵니다.	앞무릎이 발끝 안쪽으로 무너지거나 상체가 과도하게 숙여지지 않기	런지_1.jpg	런지_2.jpg	런지_3.jpg
스쿼트	하체	3	12	60	발을 어깨너비로 벌리고 발끝을 약간 바깥쪽으로 둡니다.	엉덩이를 뒤로 빼며 가슴을 세우고 무릎을 굽힙니다.	발바닥으로 바닥을 밀어 바르게 일어섭니다.	무릎이 안쪽으로 모이거나 허리가 과도하게 굽지 않기	스쿼트_1.jpg	스쿼트_2.jpg	스쿼트_3.jpg
플랭크	코어	3	12	60	팔꿈치를 어깨 아래에 두고 다리를 뒤로 뻗습니다.	머리부터 발뒤꿈치까지 일직선을 유지하며 복부에 힘을 줍니다.	무릎을 바닥에 내려 통제된 방식으로 마무리합니다.	허리가 처지거나 엉덩이를 과도하게 들지 않기	플랭크_1.jpg	플랭크_2.jpg	플랭크_3.jpg
푸시업	가슴	3	12	60	손을 어깨보다 약간 넓게 두고 몸을 일직선으로 만듭니다.	팔꿈치를 굽혀 가슴을 바닥 쪽으로 내립니다.	손바닥으로 밀어 팔을 펴고 플랭크로 돌아옵니다.	허리가 처지거나 팔꿈치가 몸에서 지나치게 벌어지지 않기	푸시업_1.jpg	푸시업_2.jpg	푸시업_3.jpg
글루트브리지	하체	3	12	60	등을 대고 누워 무릎을 굽히고 발바닥을 바닥에 둡니다.	엉덩이를 조이며 골반을 들어 몸통과 허벅지를 맞춥니다.	엉덩이를 천천히 바닥으로 내립니다.	허리를 꺾어 올리거나 무릎이 바깥으로 벌어지지 않기	글루트브리지_1.jpg	글루트브리지_2.jpg	글루트브리지_3.jpg
버드독	코어	3	12	60	네발기기 자세에서 척추를 중립으로 유지합니다.	반대쪽 팔과 다리를 뻗어 골반이 흔들리지 않게 합니다.	손과 무릎을 천천히 몸 아래로 되돌립니다.	허리를 꺾거나 골반을 회전시키지 않기	버드독_1.jpg	버드독_2.jpg	버드독_3.jpg
마운틴클라이머	코어	3	12	60	어깨 아래에 손을 두고 하이플랭크 자세를 만듭니다.	한쪽 무릎을 가슴 쪽으로 당기고 양쪽 다리를 번갈아 움직입니다.	양발을 뒤로 보내 안정적인 하이플랭크로 돌아옵니다.	엉덩이가 들리거나 허리가 처지지 않도록 복부 유지	마운틴클라이머_1.jpg	마운틴클라이머_2.jpg	마운틴클라이머_3.jpg
